Date,Australia,Brazil,Canada,Germany,France,Hongkong,Japan,Malaysia,US,India,Close
2020-03-06,0.668,6.76,0.72,-0.73,-0.359,0.86,-0.128,2.83,0.74,6.19,11582.820313
2020-03-09,0.606,6.72,0.53,-0.83,-0.383,0.72,-0.141,2.85,0.54,6.07,11108.549805
2020-03-11,0.671,7.06,0.64,-0.76,-0.306,0.78,-0.057,2.91,0.82,6.13,11200.049805
2020-03-12,0.762,8.98,0.64,-0.79,-0.155,0.8,-0.046,3.0,0.88,6.24,10941.009766
2020-03-13,0.97,8.01,0.82,-0.63,-0.013,0.98,0.007,3.18,0.94,6.32,10831.129883
2020-03-16,0.908,8.32,0.78,-0.56,0.192,1.01,0.024,3.11,0.73,6.21,10253.280273
2020-03-17,1.031,7.55,0.92,-0.41,0.244,1.07,0.02,3.24,1.02,6.27,10202.75
2020-03-18,1.211,8.84,1.06,-0.27,0.363,1.26,0.064,3.38,1.18,6.3,10029.570313
2020-03-19,1.483,9.01,1.0,-0.27,0.257,1.26,0.104,3.62,1.12,6.41,10019.860352
2020-03-23,0.908,9.84,0.78,-0.39,0.112,0.95,0.078,3.64,0.76,6.38,9691.530273
2020-03-24,0.89,9.5,0.85,-0.36,0.185,0.95,0.049,3.67,0.84,6.3,9921.679688
2020-03-26,0.919,7.97,0.84,-0.31,0.02,0.83,0.019,3.63,0.83,6.23,10155.360352
2020-03-27,0.917,7.86,0.72,-0.45,-0.064,0.79,0.024,3.43,0.72,6.14,10109.910156
2020-03-30,0.775,7.85,0.75,-0.54,-0.084,0.74,0.021,3.46,0.7,6.21,9904.950195
2020-03-31,0.755,7.65,0.71,-0.48,-0.006,0.75,0.031,3.44,0.7,6.14,9962.299805
2020-04-03,0.754,8.22,0.71,-0.45,0.075,0.78,-0.011,3.41,0.62,6.31,10110.110352
2020-04-07,0.912,7.97,0.82,-0.37,0.169,0.89,0.004,3.42,0.75,6.41,10428.910156
2020-04-08,0.91,7.89,0.81,-0.34,0.169,0.87,0.013,3.44,0.77,6.44,10386.549805
2020-04-09,0.898,7.64,0.76,-0.32,0.109,0.83,0.012,3.44,0.73,6.49,10463.049805
2020-04-15,0.907,7.34,0.64,-0.42,0.051,0.75,0.019,3.26,0.63,6.43,10417.370117
2020-04-16,0.842,7.1,0.61,-0.45,0.049,0.73,0.003,3.15,0.61,6.44,10470.790039
2020-04-17,0.852,7.03,0.64,-0.47,0.024,0.75,0.013,3.0,0.65,6.35,10527.990234
2020-04-20,0.833,6.96,0.63,-0.49,0.084,0.75,0.014,2.99,0.63,6.21,10621.5
